cod_radio,pob_total,pob_infantil,pct_infantil
020771904,842,130,15.44
020771905,794,124,15.62
020771906,944,134,14.19
020771907,821,119,14.49
020771908,758,113,14.91
020771909,820,121,14.76
020772001,759,113,14.89
020772002,847,117,13.81
020772003,1340,204,15.22
020772004,986,166,16.84
020772005,906,135,14.9
020772006,636,68,10.69
020772007,804,122,15.17
020772008,542,81,14.94
020772009,829,101,12.18
020772010,786,116,14.76
020772011,644,100,15.53
020772101,764,98,12.83
020772102,803,134,16.69
020772103,1056,134,12.69
020772104,927,113,12.19
020772105,412,41,9.95
020772106,902,119,13.19
020772107,737,97,13.16
020772108,673,104,15.45
020772109,606,82,13.53
020772110,857,130,15.17
020772111,822,121,14.72
020772112,516,72,13.95
020772201,785,130,16.56
020772202,757,98,12.95
020772203,844,132,15.64
020772204,687,113,16.45
020772205,852,149,17.49
020772206,979,110,11.24
020772207,800,113,14.12
020772208,779,112,14.38
020772209,736,107,14.54
020772210,774,92,11.89
020772211,909,133,14.63
020840101,560,89,15.89
020840102,733,103,14.05
020840103,597,93,15.58
020840104,875,122,13.94
020840105,650,107,16.46
020840106,817,126,15.42
020840107,1213,204,16.82
020840108,677,81,11.96
020840109,988,132,13.36
020840110,1155,168,14.55
020840111,1076,162,15.06
020840201,750,98,13.07
020840202,848,122,14.39
020840203,961,146,15.19
020840204,1262,144,11.41
020840205,1046,137,13.1
020840206,1054,139,13.19
020840207,1117,170,15.22
020840208,1122,172,15.33
020840209,633,90,14.22
020840301,439,70,15.95
020840302,711,92,12.94
020840303,981,149,15.19
020840304,832,104,12.5
020840305,887,126,14.21
020840306,1394,276,19.8
020840307,935,135,14.44
020840308,667,101,15.14
020840309,582,88,15.12
020840310,1052,176,16.73
020840311,791,118,14.92
020840401,961,139,14.46
020840402,1143,157,13.74
020840403,1374,193,14.05
020840404,912,141,15.46
020840405,690,90,13.04
020840406,839,112,13.35
020840407,930,133,14.3
020840408,503,79,15.71
020840409,610,78,12.79
020840410,740,107,14.46
020840501,813,119,14.64
020840502,687,102,14.85
020840503,700,94,13.43
020840504,574,89,15.51
020840505,641,60,9.36
020840506,627,63,10.05
020840507,719,88,12.24
020840508,785,85,10.83
020840509,715,99,13.85
020840510,699,85,12.16
020840511,690,98,14.2
020840512,765,112,14.64
020840601,950,164,17.26
020840602,1115,149,13.36
020840603,739,95,12.86
020840604,912,123,13.49
020840605,1041,160,15.37
020840606,807,136,16.85
020840607,693,77,11.11
020840608,1059,156,14.73
020840609,967,103,10.65
020840610,860,142,16.51
020840701,1002,133,13.27
020840702,822,98,11.92
020840703,878,114,12.98
020840704,957,157,16.41
020840705,837,116,13.86
020840706,991,124,12.51
020840707,925,136,14.7
020840708,907,115,12.68
020840709,648,90,13.89
020840710,577,77,13.34
020840711,568,53,9.33
020840712,366,36,9.84
020840713,815,131,16.07
020840801,1075,139,12.93
020840802,804,130,16.17
020840803,918,149,16.23
020840804,859,134,15.6
020840805,609,55,9.03
020840806,1002,137,13.67
020840807,807,116,14.37
020840808,1143,162,14.17
020840809,1062,156,14.69
020840810,726,137,18.87
020840811,621,90,14.49
020840812,884,184,20.81
020840901,1208,196,16.23
020840902,981,149,15.19
020840903,820,115,14.02
020840904,1341,178,13.27
020840905,1256,188,14.97
020840906,1072,148,13.81
020840907,996,158,15.86
020840908,691,105,15.2
020841001,1212,196,16.17
020841002,850,131,15.41
020841003,886,128,14.45
020841004,773,116,15.01
020841005,773,103,13.32
020841006,1123,193,17.19
020841007,1039,143,13.76
020841008,899,162,18.02
020841009,995,150,15.08
020841010,788,137,17.39
020841011,1242,204,16.43
020841012,717,94,13.11
020841013,629,72,11.45
020841101,882,136,15.42
020841102,655,89,13.59
020841103,833,123,14.77
020841104,837,126,15.05
020841105,699,124,17.74
020841106,834,98,11.75
020841107,755,106,14.04
020841108,786,106,13.49
020841109,894,114,12.75
020841110,898,136,15.14
020841111,1232,230,18.67
020841112,616,112,18.18
020841113,355,51,14.37
020841201,827,111,13.42
020841202,1417,184,12.99
020841203,1087,152,13.98
020841204,1005,161,16.02
020841205,1074,137,12.76
020841206,662,93,14.05
020841207,907,113,12.46
020841208,709,106,14.95
020841209,603,103,17.08
020841301,1117,162,14.5
020841302,1146,158,13.79
020841303,540,85,15.74
020841304,1100,151,13.73
020841305,807,122,15.12
020841306,1161,162,13.95
020841307,835,98,11.74
020841308,714,78,10.92
020841309,1161,173,14.9
020841310,607,66,10.87
020841311,703,70,9.96
020841401,835,123,14.73
020841402,997,103,10.33
020841403,983,155,15.77
020841404,1141,145,12.71
020841405,1032,147,14.24
020841406,943,116,12.3
020841407,1625,238,14.65
020841408,926,143,15.44
020841409,1489,220,14.78
020841410,968,152,15.7
020841411,797,120,15.06
020841412,466,71,15.24
020841501,634,72,11.36
020841502,624,76,12.18
020841503,410,50,12.2
020841504,1055,147,13.93
020841505,1108,165,14.89
020841506,916,97,10.59
020841507,1002,141,14.07
020841508,1205,171,14.19
020841509,1461,237,16.22
020841510,1166,150,12.86
020841511,828,115,13.89
020841512,782,99,12.66
020841513,571,62,10.86
020841514,632,71,11.23
020841515,501,57,11.38
020841516,890,123,13.82
020841601,1202,163,13.56
020841602,967,108,11.17
020841603,1177,179,15.21
020841604,515,61,11.84
020841605,588,87,14.8
020841606,919,142,15.45
020841607,976,137,14.04
020841608,914,79,8.64
020841609,879,115,13.08
020841610,1010,106,10.5
020841611,896,120,13.39
020841612,740,89,12.03
020841613,588,76,12.93
020841614,337,42,12.46
020841615,671,90,13.41
020841616,618,80,12.94
020841617,922,99,10.74
020841618,628,88,14.01
020841619,540,56,10.37
020841620,629,82,13.04
020841621,679,99,14.58
020841701,1146,172,15.01
020841702,961,155,16.13
020841703,1040,149,14.33
020841704,1022,181,17.71
020841705,1387,233,16.8
020841706,1119,174,15.55
020841707,1245,196,15.74
020841708,440,54,12.27
020841709,623,77,12.36
020841710,952,138,14.5
020841801,772,109,14.12
020841802,1066,166,15.57
020841803,1080,160,14.81
020841804,1037,158,15.24
020841805,1079,181,16.77
020841806,1143,215,18.81
020841807,963,145,15.06
020841808,956,146,15.27
020841809,881,127,14.42
020841810,1114,190,17.06
020841811,678,103,15.19
020841812,663,102,15.38
020841813,821,123,14.98
020841814,540,63,11.67
020841815,434,70,16.13
020841901,1043,165,15.82
020841902,602,97,16.11
020841903,685,107,15.62
020841904,907,111,12.24
020841905,1350,231,17.11
020841906,1100,179,16.27
020841907,877,133,15.17
020841908,961,157,16.34
020841909,1026,133,12.96
020841910,947,140,14.78
020841911,1111,171,15.39
020841912,889,134,15.07
020841913,770,120,15.58
020842001,854,121,14.17
020842002,765,119,15.56
020842003,729,122,16.74
020842004,1381,228,16.51
020842005,1034,151,14.6
020842006,1369,199,14.54
020842007,1209,150,12.41
020842008,1076,154,14.31
020842009,877,134,15.28
020842010,632,76,12.03
020842101,638,84,13.17
020842102,774,151,19.51
020842103,653,77,11.79
020842104,1286,190,14.77
020842105,890,105,11.8
020842106,895,143,15.98
020842107,1196,177,14.8
020842108,1185,172,14.51
020842109,731,101,13.82
020842110,881,119,13.51
020842111,789,108,13.69
020842112,660,76,11.52
020842113,848,124,14.62
020842201,806,113,14.02
020842202,1044,168,16.09
020842203,1034,167,16.15
020842204,865,134,15.49
020842205,1127,180,15.97
020842206,915,113,12.35
020842207,804,108,13.43
020842208,1081,185,17.11
020842209,674,109,16.17
020842210,1117,158,14.15
020842211,1104,179,16.21
020842212,814,139,17.08
020842213,499,90,18.04
020842214,482,68,14.11
020842215,617,92,14.91
020910101,1176,132,11.22
020910102,835,104,12.46
020910103,835,100,11.98
020910104,652,86,13.19
020910105,1221,152,12.45
020910106,1348,191,14.17
020910107,723,108,14.94
020910108,683,88,12.88
020910109,600,64,10.67
020910110,812,113,13.92
020910111,643,84,13.06
020910112,529,52,9.83
020910113,605,94,15.54
020910114,535,54,10.09
020910115,459,42,9.15
020910201,640,80,12.5
020910202,860,105,12.21
020910203,819,109,13.31
020910204,756,102,13.49
020910205,996,123,12.35
020910206,886,105,11.85
020910207,785,118,15.03
020910208,786,103,13.1
020910209,1126,130,11.55
020910210,1281,192,14.99
020910211,706,127,17.99
020910212,742,104,14.02
020910213,601,68,11.31
020910301,1149,171,14.88
020910302,680,95,13.97
020910303,820,90,10.98
020910304,571,66,11.56
020910305,1101,177,16.08
020910306,1037,145,13.98
020910307,806,96,11.91
020910308,1113,180,16.17
020910309,1091,158,14.48
020910310,755,123,16.29
020910311,751,128,17.04
020910312,505,85,16.83
020910313,489,45,9.2
020910401,956,124,12.97
020910402,957,109,11.39
020910403,863,106,12.28
020910404,1215,149,12.26
020910405,1085,150,13.82
020910406,1093,171,15.65
020910407,845,115,13.61
020910408,785,85,10.83
020910409,843,116,13.76
020910410,578,63,10.9
020910411,918,129,14.05
020910412,225,29,12.89
020910413,737,85,11.53
020910414,774,110,14.21
020910415,645,87,13.49
020910416,594,83,13.97
020910501,810,99,12.22
020910502,1237,175,14.15
020910503,525,53,10.1
020910504,981,113,11.52
020910505,1050,153,14.57
020910506,957,119,12.43
020910507,1067,133,12.46
020910508,1322,162,12.25
020910509,731,97,13.27
