cod_radio,pob_total,pob_adulta_mayor,pct_adulta_mayor
020561803,342,14,4.09
020561804,597,16,2.68
020561805,422,15,3.55
020561806,935,29,3.1
020561807,797,19,2.38
020561808,641,16,2.5
020561809,1184,24,2.03
020630101,430,102,23.72
020630102,473,73,15.43
020630103,652,117,17.94
020630104,760,117,15.39
020630105,784,135,17.22
020630106,709,130,18.34
020630107,685,109,15.91
020630108,692,123,17.77
020630109,848,136,16.04
020630201,1169,214,18.31
020630202,903,158,17.5
020630203,1119,178,15.91
020630204,605,110,18.18
020630205,1215,241,19.84
020630206,741,135,18.22
020630207,910,155,17.03
020630208,713,101,14.17
020630209,1114,181,16.25
020630210,878,167,19.02
020630211,914,167,18.27
020630212,825,130,15.76
020630213,489,92,18.81
020630301,677,119,17.58
020630302,749,104,13.89
020630303,614,120,19.54
020630304,720,123,17.08
020630305,593,121,20.4
020630306,843,156,18.51
020630307,821,173,21.07
020630308,776,152,19.59
020630309,636,187,29.4
020630310,792,185,23.36
020630311,654,150,22.94
020630312,684,137,20.03
020630313,852,131,15.38
020630401,909,186,20.46
020630402,1010,217,21.49
020630403,938,168,17.91
020630404,891,184,20.65
020630405,916,176,19.21
020630406,629,129,20.51
020630407,839,159,18.95
020630408,766,132,17.23
020630409,821,180,21.92
020630410,690,132,19.13
020630411,968,228,23.55
020630501,1004,151,15.04
020630502,1104,178,16.12
020630503,744,133,17.88
020630504,1047,195,18.62
020630505,1117,205,18.35
020630506,955,164,17.17
020630507,961,161,16.75
020630508,882,156,17.69
020630509,1128,183,16.22
020630510,794,163,20.53
020630511,941,179,19.02
020630601,1192,231,19.38
020630602,759,125,16.47
020630603,1053,210,19.94
020630604,1069,241,22.54
020630605,1183,217,18.34
020630606,734,165,22.48
020630607,1187,235,19.8
020630608,946,153,16.17
020630609,936,133,14.21
020630610,986,189,19.17
020630611,942,174,18.47
020630612,656,127,19.36
020630701,799,166,20.78
020630702,893,204,22.84
020630703,549,134,24.41
020630704,744,151,20.3
020630705,777,172,22.14
020630706,842,192,22.8
020630707,683,106,15.52
020630708,727,139,19.12
020630709,906,168,18.54
020630710,692,112,16.18
020630711,866,158,18.24
020630712,1012,191,18.87
020630713,813,188,23.12
020630714,852,177,20.77
020630801,994,176,17.71
020630802,826,174,21.07
020630803,822,208,25.3
020630804,831,182,21.9
020630805,888,152,17.12
020630806,1088,203,18.66
020630807,725,132,18.21
020630808,1017,163,16.03
020630809,878,131,14.92
