cod_radio,hogares_total,hogares_nbi,pct_nbi
020071202,243,14,5.76
020071203,156,10,6.41
020071204,240,56,23.33
020071205,262,8,3.05
020071206,302,25,8.28
020071207,524,100,19.08
020071208,192,11,5.73
020071209,308,17,5.52
020071210,222,13,5.86
020071211,261,17,6.51
020071212,255,22,8.63
020071213,234,92,39.32
020071214,266,22,8.27
020071301,259,2,0.77
020071302,113,5,4.42
020071303,200,2,1.0
020071304,288,17,5.9
020071305,281,3,1.07
020071306,201,7,3.48
020071307,507,4,0.79
020071308,253,10,3.95
020071309,254,0,0.0
020071310,508,14,2.76
020071311,229,2,0.87
020071312,301,3,1.0
020071313,152,1,0.66
020071314,326,9,2.76
020071315,338,2,0.59
020071316,409,76,18.58
020071317,272,20,7.35
020071318,249,6,2.41
020071401,343,53,15.45
020071402,360,28,7.78
020071403,218,11,5.05
020071404,195,2,1.03
020071405,386,154,39.9
020071406,322,43,13.35
020071407,333,9,2.7
020071408,241,86,35.68
020071409,275,29,10.55
020071410,268,5,1.87
020071411,209,10,4.78
020071412,213,31,14.55
020071501,364,77,21.15
020071502,402,36,8.96
020071503,294,26,8.84
020071504,507,17,3.35
020071505,295,17,5.76
020071506,366,85,23.22
020071507,327,40,12.23
020071508,405,121,29.88
020071509,503,33,6.56
020071510,370,63,17.03
020071511,342,72,21.05
020071601,313,73,23.32
020071602,199,13,6.53
020071603,439,83,18.91
020071604,361,12,3.32
020071605,156,12,7.69
020071606,208,22,10.58
020071607,510,92,18.04
020071608,253,29,11.46
020071609,166,6,3.61
020071610,281,2,0.71
020071611,190,16,8.42
020071612,145,6,4.14
020071701,484,99,20.45
020071702,239,19,7.95
020071703,344,40,11.63
020071704,322,20,6.21
020071705,310,46,14.84
020071706,541,127,23.48
020071707,361,73,20.22
020071708,348,73,20.98
020071709,243,22,9.05
020071710,312,21,6.73
020071711,245,44,17.96
020071801,587,172,29.3
020071802,383,52,13.58
020071803,303,34,11.22
020071804,543,73,13.44
020071805,342,33,9.65
020071806,449,31,6.9
020071807,292,23,7.88
020071808,305,14,4.59
020071809,429,90,20.98
020071901,486,94,19.34
020071902,536,30,5.6
020071903,151,7,4.64
020071904,391,14,3.58
020071905,233,15,6.44
020071906,343,85,24.78
020071907,397,111,27.96
020071908,202,60,29.7
020071909,285,14,4.91
020072001,285,54,18.95
020072002,353,22,6.23
